省份,经度,纬度
贵州,106.71,26.57 
河南,113.65,34.70 
山东,117,36.65 
四川,104.06,30.67 
江苏,118.78,32.04 
青海,101.74,36.56 
福建,119.3,26.08 
浙江,120.19,30.26 
湖北,114.31,30.52 
天津,117.2,39.13 
江西,115.89,28.68 
西藏,91.11,29.97 
黑龙江,126.63,45.75 
广东,113.23,23.16 
云南,102.73,25.04 
北京,116.46,39.92 
广西壮族,108.33,22.84 
陕西,108.95,34.27 
新疆维吾尔,87.68,43.77 
甘肃,103.73,36.03 
河北,114.48,38.03 
吉林,125.35,43.88 
重庆,106.54,29.50 
湖南,113,28.21 
宁夏回族,106.27,38.47 
安徽,117.27,31.86 
内蒙古,111.65,40.82 
上海,121.48,31.22 
山西,112.53,37.87 
海南,110.35,20.02 
辽宁,123.38,41.80 
